File,Total,Status Report,Query,Plan Announcement,Coordination,Help Request,Help Offer,Acknowledgment,Instruction,Other
2885,38,16,3,7,8,0,0,3,1,0
2886,39,16,5,7,7,0,0,3,1,0
2887,39,16,5,7,7,0,0,3,1,0
2888,38,15,5,7,7,0,0,3,1,0
2889,39,16,5,7,7,0,0,3,1,0
2890,39,16,5,7,7,0,0,3,1,0
2891,29,17,1,0,2,0,0,8,1,0
2892,28,16,1,0,2,0,0,8,1,0
2893,29,17,1,0,2,0,0,8,1,0
2894,29,17,1,0,2,0,0,8,1,0
2895,28,16,1,0,2,0,0,8,1,0
2896,29,17,1,0,2,0,0,8,1,0
2897,31,8,4,2,2,0,0,14,1,0
2898,33,8,4,3,2,0,0,15,1,0
2899,32,8,4,3,2,0,0,14,1,0
2900,32,8,4,3,2,0,0,14,1,0
2901,33,8,3,3,3,0,0,15,1,0
2902,31,9,4,3,2,0,0,12,1,0
2903,47,24,5,5,7,3,0,2,1,0
2904,46,23,5,5,7,3,0,2,1,0
2905,47,24,5,5,7,3,0,2,1,0
2906,47,24,5,6,6,3,0,2,1,0
2907,47,24,5,5,7,3,0,2,1,0
2908,47,24,5,6,6,3,0,2,1,0
2909,33,18,8,0,4,1,0,1,1,0
2910,33,17,8,0,3,1,0,3,1,0
2911,33,17,8,0,3,1,0,3,1,0
2912,33,18,8,1,3,1,0,1,1,0
2913,32,16,8,0,3,1,0,3,1,0
2914,33,16,8,0,5,1,0,2,1,0
2915,37,17,4,8,5,0,0,2,1,0
2916,37,16,5,8,5,0,0,2,1,0
2917,37,16,5,8,5,0,0,2,1,0
2918,36,15,5,8,5,0,0,2,1,0
2919,37,15,5,9,5,0,0,2,1,0
2920,37,16,5,8,5,0,0,2,1,0
2921,44,17,4,1,8,0,0,13,1,0
2922,44,16,5,0,8,0,0,14,1,0
2923,43,17,5,1,7,0,0,12,1,0
2924,43,16,4,0,9,0,0,13,1,0
2925,44,17,5,0,8,0,0,13,1,0
2926,43,16,5,1,7,0,0,13,1,0
2927,24,10,1,2,2,0,0,8,1,0
2928,24,10,1,2,2,0,0,8,1,0
2929,24,10,1,2,2,0,0,8,1,0
2930,22,10,1,1,2,0,0,7,1,0
2931,24,10,1,2,2,0,0,8,1,0
2932,24,10,1,2,2,0,0,8,1,0
2933,39,26,7,0,2,0,3,0,1,0
2934,39,26,7,0,2,0,3,0,1,0
2935,37,23,6,1,3,0,3,0,1,0
2936,38,25,7,0,2,0,3,0,1,0
2937,36,25,5,0,2,0,3,0,1,0
2938,38,25,7,0,2,0,3,0,1,0
2939,6,3,0,0,1,0,0,1,1,0
2940,8,4,0,0,1,0,0,1,2,0
2941,7,0,0,0,1,5,0,0,1,0
2942,7,0,0,0,1,5,0,0,1,0
2943,15,4,2,0,2,6,0,0,1,0
2944,15,2,2,0,2,8,0,0,1,0
2945,3,2,0,0,0,0,0,0,1,0
2946,3,2,0,0,0,0,0,0,1,0
2947,4,2,1,0,0,0,0,0,1,0
2948,3,1,1,0,0,0,0,0,1,0
2949,25,13,4,5,1,1,0,0,1,0
2950,27,12,5,5,1,2,0,0,1,1
2951,3,1,0,0,0,1,0,0,1,0
2952,3,1,0,0,0,1,0,0,1,0
2953,10,3,4,1,0,1,0,0,1,0
2954,10,3,4,1,0,1,0,0,1,0
2955,3,1,0,0,0,1,0,0,1,0
2956,3,1,0,0,0,1,0,0,1,0
2957,4,2,0,0,0,1,0,0,1,0
2958,4,2,0,0,0,1,0,0,1,0
2959,15,6,3,1,2,2,0,0,1,0
2960,15,6,3,1,2,2,0,0,1,0
2961,16,5,3,3,0,1,0,3,1,0
2962,16,6,2,3,0,1,1,2,1,0
2963,24,6,2,0,7,1,0,5,1,2
2964,22,7,2,0,6,1,0,5,1,0
2965,7,3,1,1,0,0,0,0,2,0
2966,7,3,1,1,0,0,0,0,2,0
2967,9,7,0,0,0,0,0,1,1,0
2968,12,8,0,1,0,0,0,1,2,0
2969,9,2,3,0,1,0,0,2,1,0
2970,7,2,2,0,1,0,0,1,1,0
2971,3,0,0,0,0,0,0,2,1,0
2972,3,0,0,0,0,0,0,2,1,0
2973,13,3,2,0,0,3,0,4,1,0
2974,15,4,2,0,0,4,0,4,1,0
3009,129,75,1,7,18,0,1,26,1,0
3010,130,75,2,6,18,0,1,27,1,0
